year,month,day,trt,tariff,stimulus,kwh_mean,kwh_sd,n
2009,11,1,1,B,3,13.91332692,8.201394449,104
2009,11,2,1,B,3,12.77912136,7.443203013,103
2009,11,3,1,B,3,12.58805288,7.60326418,104
2009,11,4,1,B,3,12.89186058,7.38536525,104
2009,11,5,1,B,3,12.78924038,8.016597799,104
2009,11,6,1,B,3,13.26570673,8.222769552,104
2009,11,7,1,B,3,14.73859223,9.730576002,103
2009,11,8,1,B,3,14.8806875,10.2425474,104
2009,11,9,1,B,3,12.85909615,7.975540033,104
2009,11,10,1,B,3,12.64621635,8.130272398,104
2009,11,11,1,B,3,13.40086538,7.629364936,104
2009,11,12,1,B,3,13.40900481,7.997652465,104
2009,11,13,1,B,3,13.43748558,8.035122957,104
2009,11,14,1,B,3,13.98515385,8.471724316,104
2009,11,15,1,B,3,14.39380288,8.568558628,104
2009,11,16,1,B,3,13.25407692,7.86111152,104
2009,11,17,1,B,3,12.76289904,7.854570683,104
2009,11,18,1,B,3,12.76997596,7.311255603,104
2009,11,19,1,B,3,13.39461058,8.589102272,104
2009,11,20,1,B,3,13.56098077,8.315647777,104
2009,11,21,1,B,3,14.23549519,9.095877088,104
2009,11,22,1,B,3,14.86704327,9.411999922,104
2009,11,23,1,B,3,13.86993269,8.506386158,104
2009,11,24,1,B,3,14.05267308,8.764715301,104
2009,11,25,1,B,3,13.98576923,7.893013153,104
2009,11,26,1,B,3,13.06645673,8.515653409,104
2009,11,27,1,B,3,13.60780769,8.906749753,104
2009,11,28,1,B,3,15.19859135,10.05276146,104
2009,11,29,1,B,3,15.49488942,9.916247116,104
2009,11,30,1,B,3,14.52309615,9.025633405,104
2009,12,1,1,B,3,14.1958125,9.065742707,104
2009,12,2,1,B,3,13.82626442,8.744518407,104
2009,12,3,1,B,3,13.69464423,8.275966877,104
2009,12,4,1,B,3,13.65858654,9.757016626,104
2009,12,5,1,B,3,15.58726923,11.59803684,104
2009,12,6,1,B,3,15.41531553,10.85362585,103
2009,12,7,1,B,3,14.42842308,9.954029656,104
2009,12,8,1,B,3,13.56622596,8.603306028,104
2009,12,9,1,B,3,14.17202885,9.148607674,104
2009,12,10,1,B,3,14.18976923,9.111045992,104
2009,12,11,1,B,3,13.52941346,9.082662555,104
2009,12,12,1,B,3,14.86647596,9.761047368,104
2009,12,13,1,B,3,15.86255769,9.98931083,104
2009,12,14,1,B,3,14.68672596,9.291835078,104
2009,12,15,1,B,3,13.99853846,9.071466931,104
2009,12,16,1,B,3,14.541125,8.713166193,104
2009,12,17,1,B,3,14.56780769,10.25267934,104
2009,12,18,1,B,3,15.0791875,10.19411873,104
2009,12,19,1,B,3,16.49303365,11.38209722,104
2009,12,20,1,B,3,16.81063942,11.65544479,104
2009,12,21,1,B,3,15.95402404,10.17437759,104
2009,12,22,1,B,3,15.65232212,9.982031482,104
2009,12,23,1,B,3,16.92770673,11.6801546,104
2009,12,24,1,B,3,18.82482212,12.75537814,104
2009,12,25,1,B,3,20.58436058,15.29180417,104
2009,12,26,1,B,3,16.87520192,10.56033476,104
2009,12,27,1,B,3,16.01036058,10.74807818,104
2009,12,28,1,B,3,17.22083654,11.36579087,104
2009,12,29,1,B,3,17.48233495,11.9760884,103
2009,12,30,1,B,3,16.8929375,11.45268227,104
2009,12,31,1,B,3,15.53382692,10.43764905,104
2010,1,1,1,B,3,15.68167788,12.15573859,104
2010,1,2,1,B,3,15.91146635,10.66079492,104
2010,1,3,1,B,3,15.73605769,10.02284251,104
2010,1,4,1,B,3,15.17728365,10.40553388,104
