,ts,date,year,month,day,hour,minute,tz,hour_cer,day_cer
113,2009-01-03 08:30:00+00:00,1/3/09,2009,1,3,8,30,GMT,18,3
114,2009-01-03 09:00:00+00:00,1/3/09,2009,1,3,9,0,GMT,19,3
115,2009-01-03 09:30:00+00:00,1/3/09,2009,1,3,9,30,GMT,20,3
116,2009-01-03 10:00:00+00:00,1/3/09,2009,1,3,10,0,GMT,21,3
117,2009-01-03 10:30:00+00:00,1/3/09,2009,1,3,10,30,GMT,22,3
118,2009-01-03 11:00:00+00:00,1/3/09,2009,1,3,11,0,GMT,23,3
119,2009-01-03 11:30:00+00:00,1/3/09,2009,1,3,11,30,GMT,24,3
120,2009-01-03 12:00:00+00:00,1/3/09,2009,1,3,12,0,GMT,25,3
121,2009-01-03 12:30:00+00:00,1/3/09,2009,1,3,12,30,GMT,26,3
122,2009-01-03 13:00:00+00:00,1/3/09,2009,1,3,13,0,GMT,27,3
123,2009-01-03 13:30:00+00:00,1/3/09,2009,1,3,13,30,GMT,28,3
124,2009-01-03 14:00:00+00:00,1/3/09,2009,1,3,14,0,GMT,29,3
125,2009-01-03 14:30:00+00:00,1/3/09,2009,1,3,14,30,GMT,30,3
126,2009-01-03 15:00:00+00:00,1/3/09,2009,1,3,15,0,GMT,31,3
127,2009-01-03 15:30:00+00:00,1/3/09,2009,1,3,15,30,GMT,32,3
128,2009-01-03 16:00:00+00:00,1/3/09,2009,1,3,16,0,GMT,33,3
129,2009-01-03 16:30:00+00:00,1/3/09,2009,1,3,16,30,GMT,34,3
130,2009-01-03 17:00:00+00:00,1/3/09,2009,1,3,17,0,GMT,35,3
131,2009-01-03 17:30:00+00:00,1/3/09,2009,1,3,17,30,GMT,36,3
132,2009-01-03 18:00:00+00:00,1/3/09,2009,1,3,18,0,GMT,37,3
133,2009-01-03 18:30:00+00:00,1/3/09,2009,1,3,18,30,GMT,38,3
134,2009-01-03 19:00:00+00:00,1/3/09,2009,1,3,19,0,GMT,39,3
135,2009-01-03 19:30:00+00:00,1/3/09,2009,1,3,19,30,GMT,40,3
136,2009-01-03 20:00:00+00:00,1/3/09,2009,1,3,20,0,GMT,41,3
137,2009-01-03 20:30:00+00:00,1/3/09,2009,1,3,20,30,GMT,42,3
138,2009-01-03 21:00:00+00:00,1/3/09,2009,1,3,21,0,GMT,43,3
139,2009-01-03 21:30:00+00:00,1/3/09,2009,1,3,21,30,GMT,44,3
140,2009-01-03 22:00:00+00:00,1/3/09,2009,1,3,22,0,GMT,45,3
141,2009-01-03 22:30:00+00:00,1/3/09,2009,1,3,22,30,GMT,46,3
142,2009-01-03 23:00:00+00:00,1/3/09,2009,1,3,23,0,GMT,47,3
143,2009-01-03 23:30:00+00:00,1/3/09,2009,1,3,23,30,GMT,48,3
144,2009-01-04 00:00:00+00:00,1/4/09,2009,1,4,0,0,GMT,1,4
145,2009-01-04 00:30:00+00:00,1/4/09,2009,1,4,0,30,GMT,2,4
146,2009-01-04 01:00:00+00:00,1/4/09,2009,1,4,1,0,GMT,3,4
147,2009-01-04 01:30:00+00:00,1/4/09,2009,1,4,1,30,GMT,4,4
148,2009-01-04 02:00:00+00:00,1/4/09,2009,1,4,2,0,GMT,5,4
149,2009-01-04 02:30:00+00:00,1/4/09,2009,1,4,2,30,GMT,6,4
150,2009-01-04 03:00:00+00:00,1/4/09,2009,1,4,3,0,GMT,7,4
151,2009-01-04 03:30:00+00:00,1/4/09,2009,1,4,3,30,GMT,8,4
152,2009-01-04 04:00:00+00:00,1/4/09,2009,1,4,4,0,GMT,9,4
153,2009-01-04 04:30:00+00:00,1/4/09,2009,1,4,4,30,GMT,10,4
154,2009-01-04 05:00:00+00:00,1/4/09,2009,1,4,5,0,GMT,11,4
155,2009-01-04 05:30:00+00:00,1/4/09,2009,1,4,5,30,GMT,12,4
156,2009-01-04 06:00:00+00:00,1/4/09,2009,1,4,6,0,GMT,13,4
157,2009-01-04 06:30:00+00:00,1/4/09,2009,1,4,6,30,GMT,14,4
158,2009-01-04 07:00:00+00:00,1/4/09,2009,1,4,7,0,GMT,15,4
159,2009-01-04 07:30:00+00:00,1/4/09,2009,1,4,7,30,GMT,16,4
160,2009-01-04 08:00:00+00:00,1/4/09,2009,1,4,8,0,GMT,17,4
161,2009-01-04 08:30:00+00:00,1/4/09,2009,1,4,8,30,GMT,18,4
162,2009-01-04 09:00:00+00:00,1/4/09,2009,1,4,9,0,GMT,19,4
163,2009-01-04 09:30:00+00:00,1/4/09,2009,1,4,9,30,GMT,20,4
164,2009-01-04 10:00:00+00:00,1/4/09,2009,1,4,10,0,GMT,21,4
165,2009-01-04 10:30:00+00:00,1/4/09,2009,1,4,10,30,GMT,22,4
166,2009-01-04 11:00:00+00:00,1/4/09,2009,1,4,11,0,GMT,23,4
167,2009-01-04 11:30:00+00:00,1/4/09,2009,1,4,11,30,GMT,24,4
168,2009-01-04 12:00:00+00:00,1/4/09,2009,1,4,12,0,GMT,25,4
169,2009-01-04 12:30:00+00:00,1/4/09,2009,1,4,12,30,GMT,26,4
170,2009-01-04 13:00:00+00:00,1/4/09,2009,1,4,13,0,GMT,27,4
171,2009-01-04 13:30:00+00:00,1/4/09,2009,1,4,13,30,GMT,28,4
172,2009-01-04 14:00:00+00:00,1/4/09,2009,1,4,14,0,GMT,29,4
173,2009-01-04 14:30:00+00:00,1/4/09,2009,1,4,14,30,GMT,30,4
174,2009-01-04 15:00:00+00:00,1/4/09,2009,1,4,15,0,GMT,31,4
175,2009-01-04 15:30:00+00:00,1/4/09,2009,1,4,15,30,GMT,32,4
176,2009-01-04 16:00:00+00:00,1/4/09,2009,1,4,16,0,GMT,33,4
177,2009-01-04 16:30:00+00:00,1/4/09,2009,1,4,16,30,GMT,34,4
178,2009-01-04 17:00:00+00:00,1/4/09,2009,1,4,17,0,GMT,35,4
179,2009-01-04 17:30:00+00:00,1/4/09,2009,1,4,17,30,GMT,36,4
180,2009-01-04 18:00:00+00:00,1/4/09,2009,1,4,18,0,GMT,37,4
181,2009-01-04 18:30:00+00:00,1/4/09,2009,1,4,18,30,GMT,38,4
182,2009-01-04 19:00:00+00:00,1/4/09,2009,1,4,19,0,GMT,39,4
183,2009-01-04 19:30:00+00:00,1/4/09,2009,1,4,19,30,GMT,40,4
184,2009-01-04 20:00:00+00:00,1/4/09,2009,1,4,20,0,GMT,41,4
185,2009-01-04 20:30:00+00:00,1/4/09,2009,1,4,20,30,GMT,42,4
186,2009-01-04 21:00:00+00:00,1/4/09,2009,1,4,21,0,GMT,43,4
187,2009-01-04 21:30:00+00:00,1/4/09,2009,1,4,21,30,GMT,44,4
188,2009-01-04 22:00:00+00:00,1/4/09,2009,1,4,22,0,GMT,45,4
189,2009-01-04 22:30:00+00:00,1/4/09,2009,1,4,22,30,GMT,46,4
190,2009-01-04 23:00:00+00:00,1/4/09,2009,1,4,23,0,GMT,47,4
191,2009-01-04 23:30:00+00:00,1/4/09,2009,1,4,23,30,GMT,48,4
192,2009-01-05 00:00:00+00:00,1/5/09,2009,1,5,0,0,GMT,1,5
193,2009-01-05 00:30:00+00:00,1/5/09,2009,1,5,0,30,GMT,2,5
194,2009-01-05 01:00:00+00:00,1/5/09,2009,1,5,1,0,GMT,3,5
195,2009-01-05 01:30:00+00:00,1/5/09,2009,1,5,1,30,GMT,4,5
196,2009-01-05 02:00:00+00:00,1/5/09,2009,1,5,2,0,GMT,5,5
197,2009-01-05 02:30:00+00:00,1/5/09,2009,1,5,2,30,GMT,6,5
198,2009-01-05 03:00:00+00:00,1/5/09,2009,1,5,3,0,GMT,7,5
199,2009-01-05 03:30:00+00:00,1/5/09,2009,1,5,3,30,GMT,8,5
200,2009-01-05 04:00:00+00:00,1/5/09,2009,1,5,4,0,GMT,9,5
201,2009-01-05 04:30:00+00:00,1/5/09,2009,1,5,4,30,GMT,10,5
202,2009-01-05 05:00:00+00:00,1/5/09,2009,1,5,5,0,GMT,11,5
203,2009-01-05 05:30:00+00:00,1/5/09,2009,1,5,5,30,GMT,12,5
204,2009-01-05 06:00:00+00:00,1/5/09,2009,1,5,6,0,GMT,13,5
205,2009-01-05 06:30:00+00:00,1/5/09,2009,1,5,6,30,GMT,14,5
206,2009-01-05 07:00:00+00:00,1/5/09,2009,1,5,7,0,GMT,15,5
207,2009-01-05 07:30:00+00:00,1/5/09,2009,1,5,7,30,GMT,16,5
208,2009-01-05 08:00:00+00:00,1/5/09,2009,1,5,8,0,GMT,17,5
209,2009-01-05 08:30:00+00:00,1/5/09,2009,1,5,8,30,GMT,18,5
210,2009-01-05 09:00:00+00:00,1/5/09,2009,1,5,9,0,GMT,19,5
211,2009-01-05 09:30:00+00:00,1/5/09,2009,1,5,9,30,GMT,20,5
212,2009-01-05 10:00:00+00:00,1/5/09,2009,1,5,10,0,GMT,21,5
213,2009-01-05 10:30:00+00:00,1/5/09,2009,1,5,10,30,GMT,22,5
214,2009-01-05 11:00:00+00:00,1/5/09,2009,1,5,11,0,GMT,23,5
215,2009-01-05 11:30:00+00:00,1/5/09,2009,1,5,11,30,GMT,24,5
216,2009-01-05 12:00:00+00:00,1/5/09,2009,1,5,12,0,GMT,25,5
217,2009-01-05 12:30:00+00:00,1/5/09,2009,1,5,12,30,GMT,26,5
218,2009-01-05 13:00:00+00:00,1/5/09,2009,1,5,13,0,GMT,27,5
219,2009-01-05 13:30:00+00:00,1/5/09,2009,1,5,13,30,GMT,28,5
220,2009-01-05 14:00:00+00:00,1/5/09,2009,1,5,14,0,GMT,29,5
221,2009-01-05 14:30:00+00:00,1/5/09,2009,1,5,14,30,GMT,30,5
222,2009-01-05 15:00:00+00:00,1/5/09,2009,1,5,15,0,GMT,31,5
223,2009-01-05 15:30:00+00:00,1/5/09,2009,1,5,15,30,GMT,32,5
224,2009-01-05 16:00:00+00:00,1/5/09,2009,1,5,16,0,GMT,33,5
225,2009-01-05 16:30:00+00:00,1/5/09,2009,1,5,16,30,GMT,34,5
226,2009-01-05 17:00:00+00:00,1/5/09,2009,1,5,17,0,GMT,35,5
227,2009-01-05 17:30:00+00:00,1/5/09,2009,1,5,17,30,GMT,36,5
228,2009-01-05 18:00:00+00:00,1/5/09,2009,1,5,18,0,GMT,37,5
229,2009-01-05 18:30:00+00:00,1/5/09,2009,1,5,18,30,GMT,38,5
230,2009-01-05 19:00:00+00:00,1/5/09,2009,1,5,19,0,GMT,39,5
231,2009-01-05 19:30:00+00:00,1/5/09,2009,1,5,19,30,GMT,40,5
232,2009-01-05 20:00:00+00:00,1/5/09,2009,1,5,20,0,GMT,41,5
233,2009-01-05 20:30:00+00:00,1/5/09,2009,1,5,20,30,GMT,42,5
234,2009-01-05 21:00:00+00:00,1/5/09,2009,1,5,21,0,GMT,43,5
235,2009-01-05 21:30:00+00:00,1/5/09,2009,1,5,21,30,GMT,44,5
236,2009-01-05 22:00:00+00:00,1/5/09,2009,1,5,22,0,GMT,45,5
237,2009-01-05 22:30:00+00:00,1/5/09,2009,1,5,22,30,GMT,46,5
238,2009-01-05 23:00:00+00:00,1/5/09,2009,1,5,23,0,GMT,47,5
239,2009-01-05 23:30:00+00:00,1/5/09,2009,1,5,23,30,GMT,48,5
240,2009-01-06 00:00:00+00:00,1/6/09,2009,1,6,0,0,GMT,1,6
241,2009-01-06 00:30:00+00:00,1/6/09,2009,1,6,0,30,GMT,2,6
242,2009-01-06 01:00:00+00:00,1/6/09,2009,1,6,1,0,GMT,3,6
243,2009-01-06 01:30:00+00:00,1/6/09,2009,1,6,1,30,GMT,4,6
244,2009-01-06 02:00:00+00:00,1/6/09,2009,1,6,2,0,GMT,5,6
245,2009-01-06 02:30:00+00:00,1/6/09,2009,1,6,2,30,GMT,6,6
246,2009-01-06 03:00:00+00:00,1/6/09,2009,1,6,3,0,GMT,7,6
247,2009-01-06 03:30:00+00:00,1/6/09,2009,1,6,3,30,GMT,8,6
248,2009-01-06 04:00:00+00:00,1/6/09,2009,1,6,4,0,GMT,9,6
249,2009-01-06 04:30:00+00:00,1/6/09,2009,1,6,4,30,GMT,10,6
250,2009-01-06 05:00:00+00:00,1/6/09,2009,1,6,5,0,GMT,11,6
251,2009-01-06 05:30:00+00:00,1/6/09,2009,1,6,5,30,GMT,12,6
252,2009-01-06 06:00:00+00:00,1/6/09,2009,1,6,6,0,GMT,13,6
253,2009-01-06 06:30:00+00:00,1/6/09,2009,1,6,6,30,GMT,14,6
254,2009-01-06 07:00:00+00:00,1/6/09,2009,1,6,7,0,GMT,15,6
255,2009-01-06 07:30:00+00:00,1/6/09,2009,1,6,7,30,GMT,16,6
256,2009-01-06 08:00:00+00:00,1/6/09,2009,1,6,8,0,GMT,17,6
257,2009-01-06 08:30:00+00:00,1/6/09,2009,1,6,8,30,GMT,18,6
258,2009-01-06 09:00:00+00:00,1/6/09,2009,1,6,9,0,GMT,19,6
259,2009-01-06 09:30:00+00:00,1/6/09,2009,1,6,9,30,GMT,20,6
260,2009-01-06 10:00:00+00:00,1/6/09,2009,1,6,10,0,GMT,21,6
261,2009-01-06 10:30:00+00:00,1/6/09,2009,1,6,10,30,GMT,22,6
262,2009-01-06 11:00:00+00:00,1/6/09,2009,1,6,11,0,GMT,23,6
263,2009-01-06 11:30:00+00:00,1/6/09,2009,1,6,11,30,GMT,24,6
264,2009-01-06 12:00:00+00:00,1/6/09,2009,1,6,12,0,GMT,25,6
265,2009-01-06 12:30:00+00:00,1/6/09,2009,1,6,12,30,GMT,26,6
266,2009-01-06 13:00:00+00:00,1/6/09,2009,1,6,13,0,GMT,27,6
267,2009-01-06 13:30:00+00:00,1/6/09,2009,1,6,13,30,GMT,28,6
268,2009-01-06 14:00:00+00:00,1/6/09,2009,1,6,14,0,GMT,29,6
269,2009-01-06 14:30:00+00:00,1/6/09,2009,1,6,14,30,GMT,30,6
270,2009-01-06 15:00:00+00:00,1/6/09,2009,1,6,15,0,GMT,31,6
271,2009-01-06 15:30:00+00:00,1/6/09,2009,1,6,15,30,GMT,32,6
272,2009-01-06 16:00:00+00:00,1/6/09,2009,1,6,16,0,GMT,33,6
273,2009-01-06 16:30:00+00:00,1/6/09,2009,1,6,16,30,GMT,34,6
274,2009-01-06 17:00:00+00:00,1/6/09,2009,1,6,17,0,GMT,35,6
275,2009-01-06 17:30:00+00:00,1/6/09,2009,1,6,17,30,GMT,36,6
276,2009-01-06 18:00:00+00:00,1/6/09,2009,1,6,18,0,GMT,37,6
277,2009-01-06 18:30:00+00:00,1/6/09,2009,1,6,18,30,GMT,38,6
278,2009-01-06 19:00:00+00:00,1/6/09,2009,1,6,19,0,GMT,39,6
279,2009-01-06 19:30:00+00:00,1/6/09,2009,1,6,19,30,GMT,40,6
280,2009-01-06 20:00:00+00:00,1/6/09,2009,1,6,20,0,GMT,41,6
281,2009-01-06 20:30:00+00:00,1/6/09,2009,1,6,20,30,GMT,42,6
